,,Алтайский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,г. Москва,г. Санкт-Петербург,г. Севастополь,Донецкая Народная Республика,Еврейская автономная область,Забайкальский край,Запорожская область,Ивановская область,Иркутская область,Кабардино-Балкарская Республика,Калининградская область,Калужская область,Камчатский край,Карачаево-Черкесская Республика,Кемеровская область,Кировская область,Костромская область,Краснодарский край,Красноярский край,Курганская область,Курская область,Ленинградская область,Липецкая область,Луганская Народная Республика,Магаданская область,Московская область,Мурманская область,Ненецкий автономный округ,Нижегородская область,Новгородская область,Новосибирская область,Омская область,Оренбургская область,Орловская область,Пензенская область,Пермский край,Приморский край,Псковская область,Республика Адыгея,Республика Алтай,Республика Башкортостан,Республика Бурятия,Республика Дагестан,Республика Ингушетия,Республика Калмыкия,Республика Карелия,Республика Коми,Республика Крым,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан),Республика Тыва,Республика Хакасия,Ростовская область,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область,Смоленская область,Ставропольский край,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Удмуртская Республика,Ульяновская область,Хабаровский край,Ханты-Мансийский АО - Югра,Херсонская область,Челябинская область,Чеченская Республика,Чувашская Республика - Чувашия,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Ярославская область
38,Инструктор-методист по физической культуре и спорту,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,да,нет,нет,да,нет,нет,да,да,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Да ,нет,нет,нет,нет,да,да,нет,нет,нет,да,да,да,нет,нет,нет,да,да,нет,да,нет,да,да,нет,да,нет,да,нет,нет,нет,да,да,да,да,да,нет,нет,Да,да,нет,да,нет,нет,да,нет,нет,да,нет,да
39,Каменщик,да,да,да,нет,да,нет,да,нет,нет,нет,да,да,да,нет,да,нет,да,да,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,нет,да,нет,Нет ,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,да,нет,да,да,нет,да,нет,нет,нет,нет,нет
40,Консультант по банковским продуктам,нет,да,нет ,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,Да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
41,Контролер в литейном производстве,нет,нет,нет ,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
42,Контролер кузнечно-прессовых работ,нет,нет,нет ,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
43,Контролер по качеству,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,нет,да,нет,нет,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,да
44,Контролер радиоэлектронной аппаратуры и приборов,нет,нет,нет ,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет ,нет,нет,да,нет,Да ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
45,Контролер станочных и слесарных работ,да,нет,нет ,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
46,Кузнец на молотах и прессах,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
47,Лаборант по переработке рыбы и морепродуктов,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
48,Лаборант химического анализа,да,да,да,да,да,да,да,нет,да,нет,нет,да,нет,нет,да,нет,нет,да,да,да,да,да,нет,да,да,нет,да,да,да,да,нет,да,да,да,да,нет,нет,нет,нет,нет,Да ,нет,да,да,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,нет,да,да,да,нет,нет,нет,да,нет,да,да,нет,да,Да,да,да,да,да,да,да,нет,нет,нет,да,нет
49,"Лаборант химического анализа воды в системах водоснабжения, водоотведения, теплоснабжения",нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,да,да,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
50,Лесничий,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,Нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет
51,Лесовод,нет,да,нет ,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет
52,Литейщик металлов и сплавов,нет,нет,нет ,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
53,Маляр строительный,нет,да,да,да,нет,да,нет,нет,да,нет,да,да,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,нет,да,нет,Да ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,да,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,Да,да,нет,да,нет,нет,да,нет,да,нет,да,нет
54,Маркшейдер,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет
55,Мастер контрольно-измерительных приборов и автоматики,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
56,Мастер общестроительных работ,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Да,да,нет,да,да,нет,да,нет,нет,нет,нет,нет
57,Мастер отделочных строительных и декоративных работ,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
58,Мастер по техническому обслуживанию и ремонту автотранспортных средств,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,ДА,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет
59,Мастер столярно-плотницких работ,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Да,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
60,Машинист автовышки и автогидроподъемника,да,да,нет,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,да,да,нет,да,нет,нет,да,нет,нет
61,Машинист автогрейдера,да,да,да,нет,да,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,да,да,да,да,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,Да,да,нет,да,нет,нет,да,нет,нет,да,нет,нет
62,Машинист бульдозера,да,да,да,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,да,нет,нет,да,да,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,Да ,нет,нет,да,нет,да,да,ДА,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,да,да,да,нет,да,нет,нет,нет,да,да,да,нет,да,да,нет,Да,да,нет,да,нет,нет,да,нет,нет,да,нет,нет
63,Машинист бурильно-крановой самоходной машины,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
64,Машинист буровой установки,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
65,Машинист дорожно-транспортных машин,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Да,нет,нет,да,нет,нет,да,нет,нет,да,нет,нет
66,Машинист катка (разных специализаций),нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
67,Машинист компрессорных установок,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет
68,Машинист конвейера,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
69,Машинист котлов,нет,да,да,да,нет,нет,да,нет,да,нет,нет,да,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,да,да,нет,нет,да,нет,нет
70,Машинист крана (крановщик),да,да,нет,да,да,да,да,да,да,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,да,нет,да,нет,да,да,нет,нет,да,да,нет,да,да,Да ,нет,да,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,да,нет,да,да,нет,да,да,да,да,да,нет,нет,да,да,да,нет,нет,да,нет,да,Да,да,нет,да,нет,да,да,нет,нет,да,да,нет
71,Машинист насосных установок,нет,да,нет ,да,да,нет,да,нет,нет,нет,нет,да,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,да,нет,да,да,нет,да,нет,да,да,нет,нет,нет,Нет ,нет,нет,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,да,нет,нет
72,Машинист экскаватора,да,да,да,да,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,да,да,да,да,да,нет,да,да,да,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,Да ,нет,нет,да,нет,нет,да,ДА,да,нет,да,да,нет,нет,нет,нет,да,да,нет,нет,да,нет,да,да,да,да,да,нет,нет,да,да,да,нет,нет,да,да,нет,Да,да,нет,да,нет,да,да,нет,нет,да,нет,да
73,Медицинская сестра,да,да,да ,да,да,да,да,да,да,да,да,да,да,да,да,нет,да,да,нет,да,да,да,да,да,нет,да,да,да,да,нет,да,нет,да,нет,нет,да,нет,нет,да,нет,нет,да,нет,да,да,да,да,нет,да,нет,да,да,нет,да,да,да,да,да,нет,да,нет,нет,да,нет,да,да,да,да,да,да,да,да,да,нет,да,да,нет,Да,да,да,да,да,да,да,да,да,да,да,да
74,Медицинский лабораторный техник,да,да,нет,да,нет,да,да,нет,да,нет,да,да,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,да,нет,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,да
75,Менеджер по информационным технологиям,нет,да,нет ,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,да
76,Механизатор (докер-механизатор) комплексной бригады на погрузочно-разгрузочных работах,да,да,нет,нет,нет,да,да,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Да,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
77,Механик в области механизации сельского хозяйства,нет,да,нет ,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да
78,Механик в сельском хозяйстве,нет,да,нет ,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Да ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,да
79,Механик-наладчик,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет
80,Младшая медицинская сестра по уходу за больными,да,да,нет,нет,да,да,да,нет,да,нет,да,да,да,да,нет,да,да,нет,да,да,да,нет,нет,нет,да,нет,да,да,да,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,Да ,нет,нет,нет,нет,да,да,ДА,да,нет,да,да,нет,нет,нет,да,да,да,нет,нет,нет,нет,да,нет,да,да,да,нет,да,да,нет,да,да,да,да,нет,нет,Да,да,нет,да,да,да,нет,да,нет,нет,нет,нет
