,,Алтайский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,г. Москва,г. Санкт-Петербург,г. Севастополь,Донецкая Народная Республика,Еврейская автономная область,Забайкальский край,Запорожская область,Ивановская область,Иркутская область,Кабардино-Балкарская Республика,Калининградская область,Калужская область,Камчатский край,Карачаево-Черкесская Республика,Кемеровская область,Кировская область,Костромская область,Краснодарский край,Красноярский край,Курганская область,Курская область,Ленинградская область,Липецкая область,Луганская Народная Республика,Магаданская область,Московская область,Мурманская область,Ненецкий автономный округ,Нижегородская область,Новгородская область,Новосибирская область,Омская область,Оренбургская область,Орловская область,Пензенская область,Пермский край,Приморский край,Псковская область,Республика Адыгея,Республика Алтай,Республика Башкортостан,Республика Бурятия,Республика Дагестан,Республика Ингушетия,Республика Калмыкия,Республика Карелия,Республика Коми,Республика Крым,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан),Республика Тыва,Республика Хакасия,Ростовская область,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область,Смоленская область,Ставропольский край,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Удмуртская Республика,Ульяновская область,Хабаровский край,Ханты-Мансийский АО - Югра,Херсонская область,Челябинская область,Чеченская Республика,Чувашская Республика - Чувашия,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Ярославская область
81,Монтажник бетонных и металлических конструкций,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
82,Монтажник наружных трубопроводов инженерных сетей,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
83,Монтажник радиоэлектронной аппаратуры и приборов,нет,нет,нет ,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,да,нет,да,нет,нет,да,да,Да ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,да,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
84,Монтажник санитарно-технических систем и оборудования,нет,да,да,нет,да,нет,да,нет,да,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,Да,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет
85,Монтажник технологических трубопроводов,нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
86,Монтажник электрических подъемников (лифтов),нет,нет,нет ,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
87,Монтер по обслуживанию и ремонту устройств инфраструктуры,нет,нет,нет ,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
88,Монтер пути,да,да,да,нет,да,да,да,нет,да,нет,да,да,да,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,да,нет,да,нет,Да ,нет,нет,да,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,да,нет,да,да,нет,нет,да,да,нет,нет,нет,нет,нет,Да,да,нет,да,нет,нет,да,нет,нет,нет,да,да
89,Наладчик автоматических линий и агрегатных станков,да,нет,нет ,нет,нет,да,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да
90,Наладчик контрольно-измерительных приборов и автоматики,да,да,да,нет,да,да,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,да,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
91,Наладчик кузнечно-прессового оборудования,нет,нет,нет ,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
92,Наладчик оборудования в производстве пищевой продукции,нет,нет,нет ,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
93,Наладчик станков и манипуляторов с программным обеспечением,да,нет,нет,нет,нет,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,да,нет,нет,да,да,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
94,Наладчик технологического оборудования,нет,нет,нет ,да,да,да,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,да,да,да,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,да,нет,нет,да,нет,Да ,нет,нет,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
95,Наладчик технологического оборудования в производстве электрооборудования,нет,нет,нет ,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
96,Облицовщик-плиточник,да,да,нет,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Да,да,нет,да,да,нет,да,нет,нет,нет,да,нет
97,Овощевод,нет,да,нет ,да,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,да,да,нет,да,нет,нет,нет,нет,нет,нет,да,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,Нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
98,Оператор автоматических и полуавтоматических станков и линий станков,да,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,да,да,нет,да,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
99,Оператор газораспределительной станции,нет,да,нет ,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
100,Оператор животноводческих комплексов и механизированных ферм,нет,нет,нет,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,Нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да
101,Оператор линии в производстве пищевой продукции,да,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,да,да,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,Да,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
102,Оператор металлорежущих станков с числовым программным управлением,нет,нет,нет ,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Да ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
103,Оператор механизированных и автоматизированных складов,нет,да,нет ,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
104,"Оператор по добыче нефти, газа и газового конденсата",нет,нет,нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет
105,Оператор связи,нет,да,нет ,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,ДА,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,да,да,да,нет,нет,да,нет,нет,Нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет
106,Оператор станков с программным управлением,да,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,да,да,нет,нет,да,да,нет,нет,да,да,да,да,нет,да,нет,да,да,нет,нет,да,нет,нет,да,да,Да ,да,да,да,нет,да,да,ДА,да,нет,да,да,нет,нет,нет,да,нет,нет,да,да,нет,нет,да,нет,да,да,да,да,да,нет,да,да,нет,нет,да,да,да,Да,да,нет,да,да,нет,да,нет,да,нет,нет,да
107,Оператор технологических установок,нет,да,нет ,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,да,нет,нет,да,нет,нет,нет,да,нет,нет,Да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет
108,Оператор технологического оборудования,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Да ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
109,Оператор товарный,нет,да,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет
110,Оператор швейного оборудования,да,да,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,да,нет,да,да,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
111,Осмотрщик-ремонтник вагонов,нет,да,да,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
112,Охранник,да,да,да,да,да,да,да,нет,да,да,да,да,да,нет,нет,нет,да,да,нет,да,да,да,нет,да,да,да,нет,да,да,да,да,да,нет,да,да,да,да,да,да,нет,нет,нет,нет,нет,нет,да,да,ДА,да,нет,да,да,нет,нет,нет,нет,да,да,да,да,да,нет,да,нет,да,нет,да,да,да,да,да,да,да,нет,да,да,нет,Да,да,нет,да,да,да,да,нет,да,да,да,да
113,Педагог дополнительного образования детей и взрослых,да,да,да,да,да,да,да,нет,да,нет,да,да,да,нет,нет,да,да,да,нет,нет,да,да,нет,да,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,да,нет,нет,да,нет,Да ,да,нет,нет,нет,да,да,нет,да,нет,да,да,нет,да,нет,нет,да,да,нет,да,нет,да,да,нет,да,нет,да,нет,да,да,да,нет,да,да,да,да,нет,Да,да,да,да,нет,нет,да,да,нет,да,да,да
114,Пекарь,да,да,да,да,да,да,да,нет,да,нет,да,да,да,да,нет,нет,да,да,да,нет,да,нет,нет,нет,да,нет,да,да,да,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,Да ,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,да,да,да,да,нет,да,да,да,нет,да,да,да,нет,да,нет,да,нет,нет,нет,да,да,нет,Да,да,нет,да,да,да ,да,нет,нет,да,да,да
115,Повар,да,да,да,да,да,да,да,да,да,да,да,да,да,да,да,нет,да,да,нет,нет,да,да,нет,да,да,да,да,да,да,да,да,да,нет,да,да,да,да,да,да,нет,Да ,да,да,нет,да,да,да,нет,да,нет,да,да,нет,да,да,да,да,да,да,да,да,да,да,нет,да,да,да,да,да,да,да,да,да,нет,да,да,нет,Да,да,да,да,да,да ,да,да,да,да,да,да
116,Пожарный,да,да,да ,да,да,да,да,нет,нет,нет,да,да,да,да,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,Да ,да,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,да,да,да,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
117,Помощник машиниста тепловоза,нет,да,нет,нет,да,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,Нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
118,Помощник машиниста электровоза,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет  ,нет,нет,нет,нет,нет,нет
119,Помощник по уходу,да,да,нет,да,да,нет,нет,нет,да,да,нет,да,да,да,нет,да,да,да,да,нет,да,да,да,нет,да,нет,да,нет,да,да,нет,нет,да,нет,нет,да,да,да,да,да,Нет ,да,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,да,да,да,да,нет,да,нет,да,нет,нет,да,да,нет,нет,нет,нет,да,нет,да,да,да,да,Да,да,нет,да,да,да,да,нет,нет,нет,нет,да
120,Портной,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,Нет,нет,нет,да,да,нет  ,нет,нет,нет,нет,нет,нет
121,Программист,да,да,нет,да,да,да,да,нет,нет,нет,да,да,нет,да,нет,да,да,да,да,да,да,да,нет,нет,да,нет,нет,да,да,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,Да ,да,нет,да,да,да,да,Да,да,нет,да,да,нет,нет,да,да,да,нет,нет,нет,нет,нет,да,нет,да,нет,да,да,да,да,да,да,да,нет,да,да,да,Да,да,нет,да,да,да,да,да,да,да,нет,да
122,Разработчик Web и мультимедийных приложений,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,да,нет,да,да,нет,нет,да,нет,нет,нет,нет,Нет ,да,нет,нет,нет,нет,да,ДА,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,нет,нет,нет,да,нет  ,да,нет,нет,нет,нет,нет
123,Растениевод,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,Нет,нет,нет,нет,нет,нет  ,да,нет,нет,нет,нет,нет
