,,Алтайский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,г. Москва,г. Санкт-Петербург,г. Севастополь,Донецкая Народная Республика,Еврейская автономная область,Забайкальский край,Запорожская область,Ивановская область,Иркутская область,Кабардино-Балкарская Республика,Калининградская область,Калужская область,Камчатский край,Карачаево-Черкесская Республика,Кемеровская область,Кировская область,Костромская область,Краснодарский край,Красноярский край,Курганская область,Курская область,Ленинградская область,Липецкая область,Луганская Народная Республика,Магаданская область,Московская область,Мурманская область,Ненецкий автономный округ,Нижегородская область,Новгородская область,Новосибирская область,Омская область,Оренбургская область,Орловская область,Пензенская область,Пермский край,Приморский край,Псковская область,Республика Адыгея,Республика Алтай,Республика Башкортостан,Республика Бурятия,Республика Дагестан,Республика Ингушетия,Республика Калмыкия,Республика Карелия,Республика Коми,Республика Крым,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан),Республика Тыва,Республика Хакасия,Ростовская область,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область,Смоленская область,Ставропольский край,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Удмуртская Республика,Ульяновская область,Хабаровский край,Ханты-Мансийский АО - Югра,Херсонская область,Челябинская область,Чеченская Республика,Чувашская Республика - Чувашия,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Ярославская область
167,Специалист по логистике на транспорте,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Да ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,да,нет,нет,да,нет,нет,Да,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
168,Специалист по медицинскому массажу,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,да,нет,да,да,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,Да,да,нет,да,да,нет,да,нет,нет,нет,нет,да
169,Специалист по метрологии (метролог),да,да,нет,нет,нет,да ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,да,Нет,нет,да,да,да,нет,да,нет,нет,да,нет,нет
170,Специалист по монтажу телекоммуникационного оборудования,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
171,Специалист по организации строительства,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
173,Специалист по сметному ценообразованию,да ,да,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет
174,Специалист по тендерам,да ,да,нет,нет,нет,нет,нет,нет,да,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет
175,Специалист по тестированию в области информационных технологий,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да
176,Специалист по технической поддержке клиентов оператора связи,да ,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
177,Специалист по управлению мобильной робототехникой,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
178,Специалист по экологической безопасности (в промышленности),нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,да,да,нет,нет,нет,да,нет,нет,да,да,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,Нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет
180,Станочник деревообрабатывающих станков,да ,да,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,Да ,нет,нет,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
181,Станочник широкого профиля,да ,да,нет,нет,да,да,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,да,да,нет,да,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,да,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
182,Столяр,да ,нет,нет,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,Да ,нет,нет,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
183,Стропальщик,да ,да,да,да,да,да,да,нет,нет,нет,да,да,нет,да,нет,нет,нет,нет,да,нет,да,да,нет,нет,да,нет,нет,да,да,да,нет,да,да,нет,да,да,нет,нет,да,да,нет,нет,да,нет,нет,да,да,ДА,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,да,да,нет,да,да,да,да,да,нет,нет,да,да,да,нет,нет,да,нет,да,Да,да,нет,да,да,нет,да,нет,нет,да,нет,нет
184,Техник (механик) по техническому обслуживанию беспилотной авиационной системы,нет,да,нет,нет,да,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
185,Техник по наладке и испытаниям,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,Да ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,Нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет
186,Технолог пищевой промышленности,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,нет,Нет ,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,да,нет,нет,нет,Нет,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет
187,Токарь,да ,да,да,нет,да,да,да,да,нет,нет,да,да,нет,нет,нет,нет,да,да,нет,нет,да,да,да,нет,да,да,нет,да,да,да,да,да,нет,да,нет,да,нет,нет,да,нет,Да ,да,да,да,да,да,да,ДА,да,нет,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,да,да,да,да,да,да,нет,да,да,нет,нет,да,да,нет,Да,да,да,да,да,нет,да,нет,да,да,нет,нет
188,Токарь-карусельщик,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
189,Токарь-расточник,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
190,Тракторист,да,да,да,нет,да,да,да,да,да,да,да,да,нет,нет,нет,нет,да,нет,да,нет,да,да,нет,нет,да,да,нет,да,да,да,да,да,нет,да,нет,да,нет,да,нет,нет,Да ,да,нет,да,да,да,да,ДА,да,нет,да,да,нет,нет,нет,нет,да,да,да,да,нет,нет,да,нет,да,да,да,да,да,да,да,да,нет,нет,да,да,да,Да,да,да,да,да,да,да,нет,да,да,да,да
191,Тракторист-машинист сельскохозяйственного производства,да ,да,да,нет,да,да,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,да,да,нет,нет,нет,да,да,да,да,да,да,нет,нет,да,нет,да,нет,нет,да,нет,Да ,да,нет,нет,да,да,да,нет,да,нет,да,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,да,да,да,нет,нет,да,да,нет,нет,да,нет,нет,Да,да,нет,да,нет,да,да,нет,нет,нет,нет,нет
192,Трубопроводчик судовой,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
193,Фельдшер,да ,да,да,да,да,да,да,нет,нет,нет,нет,да,да,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,да,да,да,нет,нет,нет,да,нет,да,нет,нет,нет,нет,Да ,да,нет,да,нет,да,да,нет,да,нет,да,да,да,да,да,да,да,да,нет,нет,нет,нет,да,нет,да,да,да,да,нет,нет,да,да,да,нет,да,да,нет,Да,да,да,да,да,да,да,да,да,да,нет,да
194,Фельдшер скорой медицинской помощи,да ,да,да,да,нет,да,да,нет,нет,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Да ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,да,да,нет,Нет,да,нет,да,нет,да,да,нет,нет,да,нет,нет
195,Фрезеровщик,да ,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,да,нет,да,нет,нет,да,нет,Да ,нет,нет,да,да,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,да,да,да,нет,нет,да,да,нет,нет,да,да,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
196,Швея,да,да,нет,да,да,да,да,да,нет,нет,да,да,нет,нет,да,нет,да,да,да,да,да,да,нет,да,да,да,да,да,да,да,нет,да,нет,да,нет,да,нет,нет,да,да,Да ,да,нет,да,да,да,да,ДА,нет,нет,да,да,нет,да,нет,да,нет,да,нет,да,нет,нет,да,да,да,да,да,да,нет,нет,да,да,да,нет,да,да,нет,Да,да,да,да,да,нет,да,нет,да,нет,нет,да
197,Штукатур,да ,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,да,да,нет,да,да,нет,нет,да,нет,нет,да,да,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,Да ,нет,нет,да,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,да,нет,нет,да,нет,да,нет,да,нет,нет,нет,да,да,да,нет,нет,нет,нет,Нет,да,да,да,да,нет,да,нет,да,нет,нет,нет
198,Экскурсовод (гид),нет,да,нет,нет,нет,да,да,нет,нет,да,да,да,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,да,нет,нет,нет,да,ДА,нет,да,нет,да,нет,да,нет,да,нет,да,нет,нет,нет,да,нет,да,да,нет,да,нет,нет,да,да,да,да,нет,да,нет,нет,Да,да,нет,да,нет,нет,да,да,нет,нет,нет,да
199,Экспедитор по перевозке грузов,да ,да,нет,нет,да,да,да,нет,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Да ,нет,нет,нет,нет,нет,нет,ДА,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет
200,Электролизник расплавленных солей,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
201,Электромеханик,нет,да,нет,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,да,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,нет,Да ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,да,да,нет,нет,нет,да,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
202,Электромеханик по лифтам,да ,нет,нет,нет,да,нет,да,нет,нет,нет,да,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Да ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
203,Электромонтажник,да ,да,да,да,да,да,да,нет,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,Да ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,Да,да,нет,да,да,да,да,нет,нет,нет,нет,нет
204,Электромонтер контактной сети,нет,да,нет,нет,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
205,"Электромонтер по обслуживанию и ремонту устройств сигнализации, централизации и блокировки",нет,да,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет
206,Электромонтер по обслуживанию электроустановок,нет,да,да,нет,да,да,да,нет,нет,нет,нет,да,да,да,нет,нет,нет,да,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,да,да,нет,да,нет,нет,да,нет,нет
207,Электромонтер по ремонту аппаратуры релейной защиты и автоматики,да ,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
208,Электромонтер по ремонту воздушных линий электропередачи,да ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,Нет,да,нет,да,да,нет,да,нет,нет,да,нет,нет
209,Электромонтер по ремонту и обслуживанию трансформаторов,нет,нет,нет  ,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет
210,Электромонтер по ремонту и обслуживанию электрооборудования,да ,да,да,нет,да,да,да,да,нет,нет,да,да,да,да,нет,нет,да,да,да,нет,да,да,да,нет,да,да,нет,да,да,да,да,да,нет,да,да,да,да,да,да,да,Да ,да,да,нет,да,да,да,ДА,да,нет,нет,да,нет,нет,нет,да,да,да,нет,да,да,нет,да,нет,да,да,да,да,да,нет,да,да,да,нет,да,да,да,Да,да,да,да,да,нет,да,да,да,да,да,да
211,Электроник,нет,да,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,да,да,нет,нет,да,нет,нет
212,Электрослесарь по ремонту оборудования распределительных устройств,да ,да,нет,да,да,да ,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,да,нет,нет,да,нет,да,нет,нет,да,нет,нет,Нет,да,нет,да,да,нет,да,нет,нет,да,нет,нет
213,Энергетик,да ,да,да,да,да,да,да,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,Нет,да,нет,да,да,да,да,нет,нет,нет,нет,нет